,ZaggSC,TANGO
KYAT3,-0.52,3.04
KYNU,0.96,0.97
L1CAM,0.32,—
L1RE1,0.78,3.18
L1TD1,-0.31,2.62
L2HGDH,—,1.69
L3HYPDH,1.61,3.38
L3MBTL1,0.53,2.88
L3MBTL2,0.57,2.94
L3MBTL3,0.38,2.71
L3MBTL4,-1.79,3.22
LACC1,0.08,1.69
LACRT,—,0.43
LACTB,—,2.37
LACTB2,—,0.85
LACTBL1,1.45,1.2
LAD1,-0.05,—
LAG3,0.75,—
LAGE3,—,2.66
LAIR1,-1.28,—
LAIR2,—,0.37
LALBA,0.43,0.92
LAMA1,—,1.24
LAMA2,—,0.21
LAMA3,—,0.72
LAMA4,0.99,2.05
LAMA5,3.03,—
LAMB1,2.88,—
LAMB2,0.97,—
LAMB3,2.82,—
LAMB4,2.51,1.84
LAMC1,1.15,—
LAMC2,1.5,—
LAMC3,2.95,0.36
LAMP1,1.38,—
LAMP2,2.52,0.51
LAMP3,2.48,0.51
LAMP5,2.64,0.51
LAMTOR1,-0.87,3.24
LAMTOR2,-0.36,2.5
LAMTOR3,0.44,2.79
LAMTOR4,-0.32,2.62
LAMTOR5,-1.01,1.32
LANCL1,2.64,0.51
LANCL2,-0.36,1.61
LANCL3,-0.55,1.95
LAP3,-0.27,3.18
LAPTM4A,2.99,—
LAPTM4B,2.93,—
LAPTM5,3.09,—
LARGE1,2.7,—
LARGE2,2.78,—
LARP1,1.33,—
LARP1B,2.82,—
LARP4,1.44,—
LARP4B,2.78,—
LARP6,2.59,—
LARP7,1.76,—
LARS1,2.09,2.73
LARS2,0.47,2.42
LAS1L,1.2,—
LAS2,0.38,—
LASP1,2.82,—
LAT,2.71,0.96
LAT2,2.79,—
LATS1,2.73,—
LATS2,2.47,—
LAX1,2.54,—
LAYN,2.38,—
LBH,-0.91,2.76
LBHD1,0.89,2.54
LBHD2,0.51,3.21
LBP,4.12,—
LBR,-0.73,3.62
LBX1,-1.04,3.39
LBX2,3.32,1.43
LCA5,1.16,1.05
LCA5L,2.37,2.16
LCAT,1.34,2.08
LCE1A,1.31,2.08
LCE1B,1.15,2.43
LCE1C,0.66,2.02
LCE1D,1.31,2.46
LCE1E,0.58,2.29
LCE1F,1.72,2.46
LCE2A,1.45,2.47
LCE2B,-0.26,3.39
LCE2C,-0.46,3.51
LCE2D,-0.39,3.54
LCE3A,-0.03,3.33
LCE3B,0.35,3.22
LCE3C,-0.59,3.49
LCE3D,0.31,3.12
LCE3E,-0.66,2.96
LCE4A,0.54,3.35
LCE5A,-0.75,3.28
LCE6A,0.77,3.26
LCK,0.12,2.94
LCLAT1,2.36,1.04
LCMT1,2.05,2.16
LCMT2,1.3,1.65
LCN1,—,2.72
LCN10,1.79,2.13
LCN12,-0.52,2.82
LCN15,-4.22,3.61
LCN1P1,1.12,1.1
LCN2,1,3.19
LCN6,0.7,3.28
LCN8,-1.69,2.96
LCN9,0.36,3.15
LCNL1,-0.39,3.04
LCOR,1.15,2.64
LCORL,3.76,3.23
LCP1,1.04,3.18
LCP2,0.44,2.87
LCT,-1.91,3.46
LCTL,1.05,3.11
LDAH,-1.44,2.9
LDB1,-1.35,2.91
LDB2,-0.59,3.02
LDB3,-1.37,3.02
LDHA,-1.28,2.91
LDHAL6A,-1.2,2.98
LDHAL6B,—,2.84
LDHB,-1.09,2.83
LDHC,-0.85,3
LDHD,-1.55,2.93
LDLR,-1.29,2.96
LDLRAD1,1,2.81
LDLRAD2,1,2.49
LDLRAD3,1.55,2.58
LDLRAD4,1.04,3.02
LDLRAP1,-0.04,3.09
LDOC1,-0.44,2.74
LEAP2,-0.42,3.06
LECT2,—,2.97
LEF1,-0.46,2.68
LEFTY1,-1.29,2.98
LEFTY2,-0.03,3.21
LEG1,-1.41,3.05
LEKR1,-1.54,3.05
LELP1,0.14,2.87
LEMD1,-0.83,3.2
LEMD2,-0.42,3.06
LEMD3,1.17,2.26
LENEP,-0.95,2.97
LENG1,-0.18,2.68
LENG8,-1.55,2.93
LENG9,-1.29,2.96
LEO1,-0.76,2.95
LEP,0.88,2.07
LEPR,-1.56,3.07
LEPROT,-3.42,3.95
LEPROTL1,-1.27,3.31
LETM1,0.35,3.4
LETM2,3.06,—
LETMD1,-1.03,2.65
LEUTX,-1.41,3.05
LEXM,1.15,3.52
LFNG,0.4,2.91
LGALS1,-1.96,3.19
LGALS12,-2.04,3.02
LGALS13,0.4,3.38
LGALS14,-0.46,3.65
LGALS16,-1.83,2.94
LGALS2,-1.06,3.1
LGALS3,-0.24,2.87
LGALS3BP,0.01,3.42
LGALS4,-1.52,2.96
LGALS7,-2.49,3.02
LGALS7B,-1.93,3.02
LGALS8,-1.51,2.98
LGALS9,-0.92,2.86
LGALS9B,-1.64,2.84
LGALS9C,-1.61,3.04
LGALSL,-1.41,2.96
LGI1,-1.55,3.61
LGI2,0.56,2.64
LGI3,1.6,3.41
LGI4,-0.54,2.92
LGMN,-0.84,2.82
LGR4,0.11,3.88
LGR5,0.96,3.83
LGR6,0.29,3.82
LGSN,0.26,3.65
LHB,-1.24,—
LHCGR,-1.04,3.34
LHFPL1,1.09,3.42
LHFPL2,1,3.31
LHFPL3,1.13,3.01
LHFPL4,0.79,3.17
LHFPL5,1.06,3.22
LHFPL6,1.14,2.39
LHPP,0.92,3.24
LHX1,-0.54,3.55
LHX2,-0.91,3.53
LHX3,0.7,3.43
LHX4,-0.58,3.44
LHX5,-1.7,3.64
LHX6,-0.18,3.35
LHX8,-1.7,3.53
LHX9,1.66,2.79
LIAS,1.57,3.3
LIAT1,-3.05,3.79
LIF,2.3,2.97
LIFR,-3.36,3.72
LIG1,-0.75,3.46
LIG3,-0.56,3.5
LIG4,0.05,3.77
LILRA1,2.96,—
LILRA2,3.19,—
LILRA3,4.15,—
LILRA4,3.57,—
LILRA5,3.43,—
LILRA6,2.46,—
LILRB1,2.09,—
LILRB2,2.47,—
LILRB3,3.41,—
LILRB4,3.51,—
LILRB5,-0.39,3.18
LIM2,0.17,3.49
LIMA1,2.37,3.25
LIMCH1,1.18,2.72
LIMD1,1.47,2.77
LIMD2,4.09,2.92
LIME1,0.49,3.43
LIMK1,1.47,1.96
LIMK2,1.07,2.11
LIMS1,—,3.69
LIMS2,-2.26,3.69
LIMS3,-3.58,4.21
LIMS4,-3.46,4.17
LIN28A,1.66,—
LIN28B,—,3.24
LIN37,-3.61,4.02
LIN52,-1.7,3.13
LIN54,1.22,2.94
LIN7A,0.59,3.01
LIN7B,—,2.95
LIN7C,0.95,3.26
LIN9,0.13,3.55
LINC00032,2.59,2.41
LINC00052,-0.33,3.56
LINC00158,-0.57,3.5
LINC00167,-0.61,3.12
LINC00173,-0.94,3.17
LINC00208,1.09,2.63
LINC00242,0.65,3.61
LINC00269,0.9,2.65
LINC00271,-0.79,3.63
LINC00299,-0.2,3.28
LINC00301,0.57,3.77
LINC00303,3.42,2.26
LINC00304,-0.22,3.93
LINC00305,0.83,2.8
LINC00308,-0.24,3.08
LINC00310,-0.12,2.99
LINC00311,-0.55,3.41
LINC00312,—,1.77
LINC00313,-0.08,2.87
LINC00322,-0.03,2.77
LINC00336,0.17,3.5
LINC00337,1.35,2.34
LINC00469,-0.6,3.18
LINC00470,-5.2,3.82
LINC00471,-0.36,2.85
LINC00472,2.18,2.26
LINC00473,0.15,3.58
LINC00474,2.11,—
LINC00476,-0.87,3.12
LINC00477,1.36,2.75
LINC00479,-0.08,2.86
LINC00482,-0.51,3.02
LINC00518,-1.59,3.56
LINC00526,0.31,2.32
LINC00527,-0.34,2.31
LINC00528,0.56,3.57
LINC00574,0.2,3.79
LINC00575,1.14,3.15
LINC00587,-0.47,3.09
LINC00588,2.17,2.65
LINC00596,—,3.15
LINC00597,-0.97,3.38
LINC00612,-0.55,3.24
LINC00614,1.22,3.53
LINC00615,-0.49,3.55
LINC00643,-1.44,3.64
LINC00696,—,2.65
LINC00862,0.06,2.9
LINC00869,1.45,0.64
LINC01006,3.26,3.25
LINC01356,3.46,1.66
LINC01387,-1.06,3.18
LINC01465,0.66,0.36
LINC01545,-0.16,3.15
LINC01546,1.33,-0.04
LINC01547,-0.73,3.08
LINC01548,-0.83,2.75
LINC01549,0.56,3.45
LINC01551,-0.41,3.49
LINC01553,1.26,3.7
LINC01554,0.47,3.04
LINC01555,2.68,2.73
LINC01556,3.44,2.77
LINC01558,3.07,2.8
LINC01559,-1.02,3.22
LINC01560,—,1.47
LINC01561,-0.38,2.74
LINC01565,3.65,2.17
LINC01587,1.46,3.47
LINC01590,-0.17,3.53
LINC01599,-0.15,3.27
LINC01600,0.42,3.59
LINC01619,-0.15,2.75
LINC02693,-0.1,3.57
LINC02694,1.22,3.54
LINC02872,1.94,1.09
LINC02875,-0.54,3.37
LINC02876,0.11,3.06
LINC02877,—,3.26
LINC02881,0.51,3.1
LINC02898,0.51,3.05
LINC02901,2.57,3.08
LINC02902,-0.71,3.05
LINC02906,0.07,2.97
LINC02908,-0.84,3.58
LINC02910,0.26,3.27
LINGO1,1.48,2.63
LINGO2,-0.8,3.58
LINGO3,-2.22,3.55
LINGO4,0.98,2.2
LINS1,2.29,3.15
LIPA,-1.21,3.78
LIPC,1.31,2.57
LIPE,2.36,—
LIPF,0.1,3.09
LIPG,0.33,2.59
LIPH,—,0.39
LIPI,4.72,2.58
LIPJ,3.58,1.91
LIPK,3.5,1.43
LIPM,-2.76,3.4
LIPN,2.43,—
LIPT1,2.85,—
LIPT2,3.37,—
LITAF,-1.85,3.84
LITAFD,-0.29,2.99
LIX1,-1.19,3.11
LIX1L,-1.76,3.36
LKAAEAR1,0.02,3.08
LLCFC1,0.62,3.31
LLGL1,—,0.17
LLGL2,—,0.16
LLPH,-1.33,2.86
LMAN1,—,1.74
LMAN1L,-2.46,2.89
LMAN2,1.67,3.08
LMAN2L,1.33,1.9
LMBR1,-1.95,3.19
LMBR1L,-1.58,3.24
LMBRD1,-0.68,3.47
LMBRD2,-1.72,3.24
LMCD1,-1.42,3.27
LMF1,-1.66,3.23
LMF2,-0.53,2.9
LMLN,-0.82,2.99
LMLN2,-1.27,3.16
LMNA,-0.51,2.51
LMNB1,1.44,2.31
LMNB2,0.38,2.89
LMNTD1,-0.32,2.24
LMNTD2,-0.79,2.95
LMO1,—,1.93
LMO2,0.9,1.65
LMO3,-1.55,3.18
LMO4,-1.8,2.9
LMO7,-1.43,1.3
LMO7DN,-0.73,3.25
LMOD1,-0.91,2.38
LMOD2,-0.33,2.65
LMOD3,-1.59,3.19
LMTK2,-0.96,2.86
LMTK3,-1.65,3.19
LMX1A,-1.71,2.79
LMX1B,2.84,1.43
LNP1,0.25,3.58
LNPEP,0.96,1.83
LNPK,-2.12,2.97
LNX1,3.85,2.47
LNX2,1.36,2.8
LONP1,-1.57,2.93
LONP2,-3.09,3.61
LONRF1,-0.47,2.76
LONRF2,4.24,1.56
LONRF3,-1.29,3.93
LORICRIN,0.08,3.28
LOX,-1.51,3.43
LOXHD1,1.06,1.88
LOXL1,-1.23,3.56
LOXL2,-3.2,4.02
LOXL3,-3.55,4.02
LOXL4,-3.08,3.95
LPA,-0.05,2.84
LPAL2,-3.25,3.94
LPAR1,-1.18,3.42
LPAR2,-0.2,3.1
LPAR3,-0.7,3.16
LPAR4,-1.15,3.26
LPAR5,-2.12,3.74
LPAR6,-1.07,3.56
LPCAT1,-1.37,3
LPCAT2,-0.7,3.21
LPCAT3,1.84,0.71
LPCAT4,-1.42,3.45
LPGAT1,3.91,0.65
LPIN1,-0.22,3.52
LPIN2,-2.54,4.02
LPIN3,-3,3.99
LPL,-0.81,3.65
LPO,—,3.77
LPP,-0.16,2.84
LPXN,-3.16,3.53
LRAT,-1.64,3.41
LRATD1,0.35,2.66
LRATD2,2.01,—
LRBA,-0.38,3.78
LRCH1,0.18,3.59
LRCH2,0.1,3.54
LRCH3,0.24,3.35
LRCH4,0.42,3.41
LRCOL1,-0.63,3.54
LRFN1,1.12,2.97
LRFN2,—,3.26
LRFN3,-2.03,2.44
LRFN4,2.29,3.05
LRFN5,0.04,3
LRG1,-0.83,3.54
LRGUK,0.04,2.87
LRIF1,—,2.12
LRIG1,1.02,2.45
LRIG2,-0.88,3.47
LRIG3,3.95,2.11
LRIT1,0.58,3.5
LRIT2,-0.96,3.54
LRIT3,-2.94,4.17
LRMDA,-2.04,4.11
LRP1,-3.42,4.08
LRP10,0.08,3.05
LRP11,1.03,3.13
LRP12,0.11,3.1
LRP1B,-3.24,4.1
LRP2,1.32,2.67
LRP2BP,-3.46,3.73
LRP3,-2.69,3.87
LRP4,-2.23,4.05
LRP5,—,3.54
LRP5L,-3.46,3.76
LRP6,-0.34,3.56
LRP8,3.14,2.98
LRPAP1,-0.2,3.14
LRPPRC,-0.08,3.23
LRR1,-0.67,3.4
LRRC1,-0.85,0.7
LRRC10,-2.1,3.35
LRRC10B,-3.28,3.71
LRRC14,-1.19,3.56
LRRC14B,-3.33,3.79
LRRC15,-0.95,3.6
LRRC17,-1.34,3.6
LRRC18,-1.96,3.53
LRRC19,3.63,1.85
LRRC2,-1.36,2.43
LRRC20,1.68,3.16
LRRC23,0.07,2.48
LRRC24,1.52,1.51
LRRC25,-0.5,3.22
LRRC26,-0.29,3.13
LRRC27,-0.17,3.08
LRRC28,-0.18,1.75
LRRC29,-0.21,1.81
LRRC3,-1.26,2.7
LRRC30,0.95,—
LRRC31,0.95,—
LRRC32,2.43,1.2
LRRC34,-0.44,1.6
LRRC36,1.47,2.55
LRRC37A,—,0.49
LRRC37A2,1.66,1.7
LRRC37A3,1.1,—
LRRC37A5P,-1.83,—
LRRC37B,-3.45,3.47
LRRC38,1.67,2.35
LRRC39,1.28,1.94
LRRC3B,1.6,2.07
LRRC3C,2.08,2.81
LRRC4,1.6,3.56
LRRC40,0.54,2.83
LRRC41,-1.29,3.75
LRRC42,1.9,3.06
LRRC43,2.03,2.86
LRRC45,1.91,2.76
LRRC46,2.03,3.03
LRRC47,1.17,2.94
LRRC49,0.95,3.1
LRRC4B,-0.59,3.42
LRRC4C,-0.34,3.3
LRRC52,-1.31,3.3
LRRC53,-1.78,3.41
LRRC55,-2.33,3.41
LRRC56,-1.27,3.51
LRRC57,-0.16,3.24
LRRC58,-1.51,3.5
LRRC59,-1.39,3.47
LRRC61,-0.84,3.22
LRRC63,-0.6,3.18
LRRC66,-0.47,3.03
LRRC69,-0.91,3.26
LRRC7,3.6,3.11
LRRC70,2.3,2.5
LRRC71,-0.01,3.33
LRRC72,-1.01,2.67
LRRC73,-0.99,2.88
LRRC74A,-0.27,1.87
LRRC74B,0.74,2.8
LRRC75A,1.15,2.85
LRRC75B,1.33,3.13
LRRC8A,—,3.51
LRRC8B,-0.01,3.4
LRRC8C,0.03,3
LRRC8D,-0.06,3.52
LRRC8E,-0.46,3.36
LRRC9,2.52,2.29
LRRCC1,-0.46,3.19
LRRD1,2.48,2.46
LRRFIP1,1.01,2.86
LRRFIP2,1.03,2.48
LRRIQ1,-0.83,2.96
LRRIQ3,-1.05,3.47
LRRIQ4,-1.69,3.61
LRRK1,-0.38,3.49
LRRK2,0.19,3.63
LRRN1,0.17,3.58
LRRN2,1.02,2.54
LRRN3,0.97,2.52
LRRN4,1.24,1.32
LRRN4CL,1.21,3.12
LRRTM1,2.08,1.79
LRRTM2,3.61,—
LRRTM3,0.75,3.36
LRRTM4,0.46,3.44
LRSAM1,0.38,3.08
LRTM1,-0.13,3.1
LRTM2,-0.03,3.44
LRTOMT,-2,3.4
LRWD1,0.49,3.18
LSAMP,2.54,2.13
LSG1,0.99,3.65
LSM1,0.13,4.04
LSM10,-1.4,3.38
LSM11,-0.86,3.38
LSM12,-1.23,3.41
LSM14A,0.06,3.36
LSM14B,-0.62,3.4
LSM2,0.72,3.09
LSM3,0.06,3
LSM4,0.55,3.03
LSM5,0.27,3.22
LSM6,—,2.97
LSM7,-2.75,3.97
LSM8,-3.45,3.96
LSMEM1,—,3.9
LSMEM2,-1.67,3.84
LSP1,—,3.92
LSR,-1.2,3.42
LST1,-1.41,3.42
LTA,0.34,3.73
LTA4H,-2.18,3.47
LTB,-1.3,3.41
LTB4R,1.3,3.14
LTB4R2,0.68,2.79
LTBP1,-2.02,3.4
LTBP2,-0.6,3.74
LTBP3,0.73,1.51
LTBP4,0.04,2.65
LTBR,-3.41,4.04
LTC4S,2.91,2.35
LTF,-1.27,3.38
LTK,-1.33,2.28
LTN1,-0.32,2.93
LTO1,0.07,3.45
LTV1,-0.18,3.24
LUC7L,-1.37,3.04
LUC7L2,0.1,3.51
LUC7L3,1.9,1.82
LUM,-0.35,3.17
LURAP1,0.15,3.04
LURAP1L,0.6,3.24
LUZP1,0.94,2.81
LUZP2,-2.51,3.48
LUZP4,-0.26,4.23
LUZP6,-1.69,2.46
LVRN,-0.45,3.05
LXN,-2.52,3.37
LY6D,-0.47,3.43
LY6E,0.39,3.52
LY6G5B,0.74,2.57
LY6G5C,-1.68,1.85
LY6G6C,-1.52,2.2
LY6G6D,1.69,3.04
LY6G6F,-1.98,2.32
LY6H,-1.62,2.93
LY6K,0.84,2.89
LY6L,0.14,2.83
LY75,-1.22,2.74
LY86,-1.94,3.84
LY9,-1.59,3.85
LY96,-2.3,3.82
LYAR,0.98,2.82
LYG1,1.04,2.95
LYG2,—,3.3
LYL1,1.68,3.09
LYN,-0.77,3.47
LYNX1,-0.99,3.41
LYPD1,-0.03,3.23
LYPD2,2.07,3.12
LYPD3,0.34,3.56
LYPD4,-0.59,3.7
LYPD5,-0.41,3.61
LYPD6,2.11,3.51
LYPD6B,-1.87,3.39
LYPD8,1.09,2.74
LYPLA1,-1.82,3.36
LYPLA2,-0.08,3.53
LYPLAL1,-0.9,3.06
LYRM1,-1.33,3.68
LYRM2,-0.72,3.69
LYRM4,0.01,1.39
LYRM7,1.57,3.22
LYRM9,-1.46,3.57
LYSMD1,0.35,3.39
LYSMD2,0.24,3.42
LYSMD3,0.22,4.1
LYSMD4,0.65,3.99
LYST,-0.25,4.1
LYVE1,0.14,3.47
LYZ,-0.39,3.46
LYZL1,0.46,3.67
LYZL2,-0.2,3.08
LYZL4,-0.99,3.87
LYZL6,-0.97,3.29
LZIC,-1.95,3.7
LZTFL1,-0.74,2.87
LZTR1,-0.49,3.29
LZTS1,-1.74,3.45
LZTS2,-0.49,3.65
LZTS3,0.91,2.94
M1AP,-0.4,3.9
M6PR,1.44,2.58
MAB21L1,-0.67,3.54
MAB21L2,-0.86,3.66
MAB21L3,-1.02,3.56
MAB21L4,-0.9,3.46
MACC1,1.52,2.06
MACF1,2.68,2.13
MACO1,—,1.39
MACROD1,0.47,1.32
MACROD2,3.82,2.49
MACROH2A1,-0.39,3.93
MACROH2A2,-0.96,3.1
MAD1L1,0.76,3.59
MAD2L1,0.03,3.19
MAD2L1BP,-1.26,3.45
MAD2L2,-0.54,3.52
MADCAM1,0.22,2.65
MADD,-0.25,2.93
MAEA,0.27,2.99
MAEL,0.37,2.96
MAF,0.27,3.22
MAF1,0.81,2.99
MAFA,0.37,2.96
MAFB,0.42,3.01
MAFF,0.18,3.04
MAFG,0.67,2.64
MAFIP,0.36,2.77
MAFK,-0.47,3
MAG,-0.83,3.14
MAGEA1,0.18,3.09
MAGEA10,-1.18,2.93
MAGEA11,-0.67,3.01
MAGEA12,0.58,2.69
MAGEA13P,0.84,2.81
MAGEA2,0.19,1.55
MAGEA2B,0.41,2.83
MAGEA3,-0.09,3.12
MAGEA4,—,3.07
MAGEA5,0.03,2.72
MAGEA6,-0.97,2.54
MAGEA8,-0.57,2.92
MAGEA9,0,3.13
MAGEA9B,-0.82,2.95
MAGEB1,-0.55,2.88
MAGEB10,-1.48,3.43
MAGEB16,0.23,3.19
MAGEB17,-2.84,3.27
MAGEB18,-1.84,3.33
MAGEB2,-0.21,2.81
MAGEB3,-2.89,3.09
MAGEB4,-0.15,2.89
MAGEB5,0.4,2.93
MAGEB6,-1.71,3.36
MAGEC1,-1.36,3.43
MAGEC2,-1.46,2.85
MAGEC3,-0.8,3.47
MAGED1,0.71,3.29
MAGED2,-3.11,2.99
MAGED4,-1.85,2.93
MAGED4B,-1.04,3.4
MAGEE1,-1.13,2.87
MAGEE2,-0.28,3.84
MAGEF1,-1.65,3.01
MAGEH1,-1.1,3.23
MAGEL2,-0.55,3.34
MAGI1,0.08,3.62
MAGI2,-1.39,3.48
MAGI3,-0.37,3.44
MAGIX,0.32,3.28
MAGOH,-0.62,3.11
MAGOHB,-1.04,3.16
MAGT1,3.99,2.9
MAIP1,-0.74,3.22
MAJIN,0.45,2.18
MAK,-0.05,3.15
MAK16,-2.36,3.16
MAL,-0.09,3.21
MAL2,0.56,2.93
MALL,-2.06,2.92
MALRD1,0.32,3.41
MALSU1,-3.19,3.64
MALT1,-1.36,3.24
MAMDC2,-0.75,3.35
MAMDC4,-1.12,3.87
MAML1,-1.35,2.99
MAML2,3.34,3.24
MAML3,1.09,1.72
MAMLD1,0.19,3.43
MAMSTR,-1.94,3.51
MAN1A1,0.94,3.08
MAN1A2,0.92,3.3
MAN1B1,0.63,2.79
MAN1C1,-1.91,3.66
MAN2A1,-1.23,3.64
MAN2A2,-1.05,3.39
MAN2B1,-1.25,3.9
MAN2B2,-0.31,1.97
MAN2C1,0.67,1.86
MANBA,1.05,1.32
MANBAL,2.14,0.85
MANEA,2.63,—
MANEAL,-0.73,3.09
MANF,1.74,1.12
MANSC1,1.49,0.86
MANSC4,1.16,3.24
MAOA,0.61,3.09
MAOB,1.21,2.39
MAP10,-0.69,2.85
MAP1A,-0.77,3.16
MAP1B,-2.22,3.27
MAP1LC3A,-3.45,4.01
MAP1LC3B,-3.43,3.17
MAP1LC3B2,-1.44,2.93
MAP1LC3C,0.78,3.33
MAP1S,1.61,2.35
MAP2,—,4.03
MAP2K1,2.53,1.99
MAP2K2,1.11,—
MAP2K3,-1.84,3.45
MAP2K4,1.06,2.29
MAP2K5,1.05,1.08
MAP2K6,-0.77,2.05
MAP2K7,-0.91,3.25
MAP3K1,-0.22,3.44
MAP3K10,-1.39,3.63
MAP3K11,-1.02,3.4
MAP3K12,-0.44,3.44
MAP3K13,-0.61,3.64
MAP3K14,0.92,2.8
MAP3K15,-1.33,3.49
MAP3K19,-1.43,3.48
MAP3K2,—,3.25
MAP3K20,1.35,1.94
MAP3K21,1.23,2.34
MAP3K3,1.34,3.07
MAP3K4,-2.12,3.01
MAP3K5,-2.53,3.97
MAP3K6,—,2.67
MAP3K7,1.6,2.78
MAP3K7CL,0.17,2.52
MAP3K8,1.63,2.17
MAP3K9,0.78,2.38
MAP4,-0.51,3.54
MAP4K1,0.16,3.08
MAP4K2,0.74,3.3
MAP4K3,-0.21,2.84
MAP4K4,-2.67,3.89
MAP4K5,-1.98,3.84
MAP6,2.15,1.57
MAP6D1,-1.26,2.45
MAP7,1.97,1.86
MAP7D1,-1.93,3.03
MAP7D2,-0.54,2.76
MAP7D3,0.05,2.82
MAP9,2.57,1.71
MAPK1,2.01,1.08
MAPK10,-1.49,3.11
MAPK11,1.65,2.74
MAPK12,0.11,2.81
MAPK13,0.45,3.39
MAPK14,-0.66,3.22
MAPK15,0.22,2.98
MAPK1IP1L,-0.44,3.63
MAPK3,1.22,3.12
MAPK4,-1.21,3.63
MAPK6,1.22,3.22
MAPK7,1.54,2.59
MAPK8,—,1.88
MAPK8IP1,—,3.18
MAPK8IP2,0.21,2.33
MAPK8IP3,-0.62,2.69
MAPK9,1.31,2.23
MAPKAP1,2.67,3.1
MAPKAPK2,-0.04,3.76
MAPKAPK3,—,0.74
MAPKAPK5,-2.9,3.24
MAPKAPK5-AS1,3.98,1.3
MAPKBP1,-1.36,3.14
MAPRE1,-0.22,3.2
MAPRE2,-1.43,3.32
MAPRE3,0.11,3.25
MAPT,-1.92,2.72
MARCHF1,0.8,2.93
MARCHF10,1.24,2.84
MARCHF11,0.67,3.63
MARCHF2,1.56,3.05
MARCHF3,0.48,2.69
MARCHF4,-0.13,3.58
MARCHF5,1.33,2.98
MARCHF6,0.96,3.33
MARCHF7,0.73,3.53
MARCHF8,0.82,3.46
MARCHF9,0.59,3
MARCKS,-1.09,3.18
MARCKSL1,0.38,3.45
MARCO,0.01,1.67
MARCOL,1.2,2.92
MARF1,0.35,3.27
MARK1,-0.23,3.72
MARK2,—,3.66
MARK3,1.05,3.1
MARK4,-0.33,3.27
MARS1,-1.07,3.19
MARS2,0,2.22
MARVELD1,-1.02,2.79
MARVELD2,-1.5,2.92
MARVELD3,-1.66,3.16
MAS1,-2,3.35
MAS1L,0.79,3.16
MASP1,-0.03,1.8
MASP2,-1.97,3.61
MAST1,-2.17,3.63
MAST2,-2.44,3.72
MAST3,1.16,3.77
MAST4,-2.93,3.62
MASTL,3.41,2.87
MAT1A,-2,3.45
MAT2A,-2.42,3.33
MAT2B,—,3.38
MATK,-2.83,3.56
MATN1,-0.7,3.37
MATN2,-0.73,3.38
MATN3,0.21,3.29
MATN4,1.84,3.56
MATR3,-0.17,3.48
MAU2,-3.31,4.01
MAVS,-0.65,3.37
MAX,1.06,3.26
MAZ,-0.76,3.48
MB21D2,-1.48,3.41
MBD1,0.41,0.52
MBD2,0.88,3.39
MBD3,-0.66,3.69
MBD3L1,-0.67,3.55
MBD3L2,-1.45,3.47
MBD3L2B,3.56,2.51
MBD3L3,1.01,1.04
MBD3L4,—,1.06
MBD3L5,3.52,1.4
MBD4,-0.23,3.06
MBD5,1.84,2.97
MBD6,1.32,3.91
MBIP,1.25,3.81
MBL2,3.2,0.52
MBLAC1,2.67,1.53
MBLAC2,2.85,2.54
MBNL1,-0.12,3.48
MBNL2,0.64,3.68
MBNL3,-3.15,4.02
MBOAT1,0.91,2.73
MBOAT2,0.25,3.38
MBOAT4,0.67,3.26
MBOAT7,2.52,1.05
MBP,2.58,2.67
MBTD1,2.93,2.64
MBTPS1,0.96,2.94
MBTPS2,-0.52,3.42
MC1R,0.06,3.1
MC2R,-0.21,2.35
MC3R,-1,3.37
MC4R,-0.77,3.3
MC5R,0.03,3.01
MCAM,-3.26,3.87
MCAT,0.17,1.15
MCC,-1.42,3.21
MCCC1,0.1,3.25
MCCC2,—,3.36
MCCD1,0.96,2.78
MCEE,1.19,3.09
MCEMP1,1.3,3.23
MCF2,0.5,3.37
MCF2L,1.67,3.19
MCF2L2,-0.07,3.35
MCFD2,0.62,3.23
MCHR1,-0.85,3.56
MCHR2,-0.66,3.43
MCIDAS,0.2,3.36
MCL1,1.29,3.33
MCM10,0.54,3.33
MCM2,1.29,3
MCM3,1.69,3.49
MCM3AP,-0.95,3.23
MCM4,1.29,3.51
MCM5,—,3.47
MCM6,2,2.09
MCM7,0.27,3.5
MCM8,-2.22,3.86
MCM9,-1,3.59
MCMBP,-1.19,3.26
MCMDC2,1.34,2.35
MCOLN1,0.31,3.28
MCOLN2,0.51,3.55
MCOLN3,-0.2,3.36
MCPH1,2.99,1.6
MCRIP1,-3.82,3.67
MCRIP2,-1.87,3.54
MCRS1,-0.07,3.79
MCTP1,-0.51,3.92
MCTP2,-0.71,3.61
MCTS1,—,3.7
MCU,—,1.7
MCUB,-0.41,3.29
MCUR1,0.72,2.03
MDC1,-0.89,3.51
MDFI,-0.26,3.39
MDFIC,0.16,3.51
MDFIC2,—,2.78
MDGA1,-1.09,3.48
MDGA2,-1.2,3.57
MDH1,1.75,2.51
MDH1B,-0.46,3.42
MDH2,0.2,1.76
MDK,-0.28,3
MDM1,0.14,2.47
MDM2,2.49,3.36
MDM4,2.19,3.55
MDN1,-0.35,3.55
MDP1,0.36,2.04
MDS2,1.95,0.65
ME1,0.09,3.43
ME2,-0.18,3.15
ME3,-0.78,4.23
MEA1,0.65,3.16
MEAF6,-2.22,3.48
MEAK7,0.75,3.17
MECOM,-0.22,3.15
MECP2,-0.53,3.4
